"idhod","hodnota","stapro_kod","vek_cis","vek_kod","vuzemi_cis","vuzemi_kod","rok","tyden","roktyden","casref_od","casref_do","vek_txt","priznak"
"1326501718","71","5393","7700","410015610045000","97","19","2011","17","2011-W17","2011-04-25","2011-05-01","15-44",
"1326752855","342","5393","7700","410045610065000","97","19","2011","17","2011-W17","2011-04-25","2011-05-01","45-64",
"1326734427","429","5393","7700","410065610075000","97","19","2011","17","2011-W17","2011-04-25","2011-05-01","65-74",
"1326485349","630","5393","7700","410075610085000","97","19","2011","17","2011-W17","2011-04-25","2011-05-01","75-84",
"1326985457","480","5393","7700","410085799999000","97","19","2011","17","2011-W17","2011-04-25","2011-05-01","85 a více",
"1326742393","1957","5393",,,"97","19","2011","17","2011-W17","2011-04-25","2011-05-01","celkem",
"1326174245","8","5393","7700","400000610015000","97","19","2011","18","2011-W18","2011-05-02","2011-05-08","0-14",
"1326175417","58","5393","7700","410015610045000","97","19","2011","18","2011-W18","2011-05-02","2011-05-08","15-44",
"1326875151","351","5393","7700","410045610065000","97","19","2011","18","2011-W18","2011-05-02","2011-05-08","45-64",
"1326645432","410","5393","7700","410065610075000","97","19","2011","18","2011-W18","2011-05-02","2011-05-08","65-74",
"1326485350","609","5393","7700","410075610085000","97","19","2011","18","2011-W18","2011-05-02","2011-05-08","75-84",
"1326652740","511","5393","7700","410085799999000","97","19","2011","18","2011-W18","2011-05-02","2011-05-08","85 a více",
"1326863689","1947","5393",,,"97","19","2011","18","2011-W18","2011-05-02","2011-05-08","celkem",
"1326849327","10","5393","7700","400000610015000","97","19","2011","19","2011-W19","2011-05-09","2011-05-15","0-14",
"1326400631","65","5393","7700","410015610045000","97","19","2011","19","2011-W19","2011-05-09","2011-05-15","15-44",
"1326664151","371","5393","7700","410045610065000","97","19","2011","19","2011-W19","2011-05-09","2011-05-15","45-64",
"1326979164","416","5393","7700","410065610075000","97","19","2011","19","2011-W19","2011-05-09","2011-05-15","65-74",
"1326997404","640","5393","7700","410075610085000","97","19","2011","19","2011-W19","2011-05-09","2011-05-15","75-84",
"1326652717","507","5393","7700","410085799999000","97","19","2011","19","2011-W19","2011-05-09","2011-05-15","85 a více",
"1326408260","2009","5393",,,"97","19","2011","19","2011-W19","2011-05-09","2011-05-15","celkem",
"1326848461","5","5393","7700","400000610015000","97","19","2011","20","2011-W20","2011-05-16","2011-05-22","0-14",
"1326501839","54","5393","7700","410015610045000","97","19","2011","20","2011-W20","2011-05-16","2011-05-22","15-44",
"1326226993","379","5393","7700","410045610065000","97","19","2011","20","2011-W20","2011-05-16","2011-05-22","45-64",
"1326978734","390","5393","7700","410065610075000","97","19","2011","20","2011-W20","2011-05-16","2011-05-22","65-74",
"1326199486","642","5393","7700","410075610085000","97","19","2011","20","2011-W20","2011-05-16","2011-05-22","75-84",
"1326408724","487","5393","7700","410085799999000","97","19","2011","20","2011-W20","2011-05-16","2011-05-22","85 a více",
"1326488635","1957","5393",,,"97","19","2011","20","2011-W20","2011-05-16","2011-05-22","celkem",
"1326175989","4","5393","7700","400000610015000","97","19","2011","21","2011-W21","2011-05-23","2011-05-29","0-14",
"1326500393","74","5393","7700","410015610045000","97","19","2011","21","2011-W21","2011-05-23","2011-05-29","15-44",
"1326228395","351","5393","7700","410045610065000","97","19","2011","21","2011-W21","2011-05-23","2011-05-29","45-64",
"1326192010","378","5393","7700","410065610075000","97","19","2011","21","2011-W21","2011-05-23","2011-05-29","65-74",
"1326740347","586","5393","7700","410075610085000","97","19","2011","21","2011-W21","2011-05-23","2011-05-29","75-84",
"1326863565","499","5393","7700","410085799999000","97","19","2011","21","2011-W21","2011-05-23","2011-05-29","85 a více",
"1326742957","1892","5393",,,"97","19","2011","21","2011-W21","2011-05-23","2011-05-29","celkem",
"1326178177","17","5393","7700","400000610015000","97","19","2011","22","2011-W22","2011-05-30","2011-06-05","0-14",
"1326189068","72","5393","7700","410015610045000","97","19","2011","22","2011-W22","2011-05-30","2011-06-05","15-44",
"1326978659","383","5393","7700","410045610065000","97","19","2011","22","2011-W22","2011-05-30","2011-06-05","45-64",
"1326482260","358","5393","7700","410065610075000","97","19","2011","22","2011-W22","2011-05-30","2011-06-05","65-74",
"1326199216","607","5393","7700","410075610085000","97","19","2011","22","2011-W22","2011-05-30","2011-06-05","75-84",
"1326410041","483","5393","7700","410085799999000","97","19","2011","22","2011-W22","2011-05-30","2011-06-05","85 a více",
"1326408261","1920","5393",,,"97","19","2011","22","2011-W22","2011-05-30","2011-06-05","celkem",
"1326848224","11","5393","7700","400000610015000","97","19","2011","23","2011-W23","2011-06-06","2011-06-12","0-14",
"1326734218","60","5393","7700","410015610045000","97","19","2011","23","2011-W23","2011-06-06","2011-06-12","15-44",
"1326190779","389","5393","7700","410045610065000","97","19","2011","23","2011-W23","2011-06-06","2011-06-12","45-64",
"1326978188","369","5393","7700","410065610075000","97","19","2011","23","2011-W23","2011-06-06","2011-06-12","65-74",
"1326650774","601","5393","7700","410075610085000","97","19","2011","23","2011-W23","2011-06-06","2011-06-12","75-84",
"1326864309","501","5393","7700","410085799999000","97","19","2011","23","2011-W23","2011-06-06","2011-06-12","85 a více",
"1326309485","1931","5393",,,"97","19","2011","23","2011-W23","2011-06-06","2011-06-12","celkem",
"1326637999","4","5393","7700","400000610015000","97","19","2011","24","2011-W24","2011-06-13","2011-06-19","0-14",
"1326849410","59","5393","7700","410015610045000","97","19","2011","24","2011-W24","2011-06-13","2011-06-19","15-44",
"1326476989","405","5393","7700","410045610065000","97","19","2011","24","2011-W24","2011-06-13","2011-06-19","45-64",
"1326192599","367","5393","7700","410065610075000","97","19","2011","24","2011-W24","2011-06-13","2011-06-19","65-74",
"1326420898","582","5393","7700","410075610085000","97","19","2011","24","2011-W24","2011-06-13","2011-06-19","75-84",
"1326206302","461","5393","7700","410085799999000","97","19","2011","24","2011-W24","2011-06-13","2011-06-19","85 a více",
"1326740894","1878","5393",,,"97","19","2011","24","2011-W24","2011-06-13","2011-06-19","celkem",
"1326727027","7","5393","7700","400000610015000","97","19","2011","25","2011-W25","2011-06-20","2011-06-26","0-14",
"1326854824","77","5393","7700","410015610045000","97","19","2011","25","2011-W25","2011-06-20","2011-06-26","15-44",
"1326753451","376","5393","7700","410045610065000","97","19","2011","25","2011-W25","2011-06-20","2011-06-26","45-64",
"1326192883","371","5393","7700","410065610075000","97","19","2011","25","2011-W25","2011-06-20","2011-06-26","65-74",
"1326875257","581","5393","7700","410075610085000","97","19","2011","25","2011-W25","2011-06-20","2011-06-26","75-84",
"1326206303","456","5393","7700","410085799999000","97","19","2011","25","2011-W25","2011-06-20","2011-06-26","85 a více",
"1326985279","1868","5393",,,"97","19","2011","25","2011-W25","2011-06-20","2011-06-26","celkem",
"1326848344","11","5393","7700","400000610015000","97","19","2011","26","2011-W26","2011-06-27","2011-07-03","0-14",
"1326732961","94","5393","7700","410015610045000","97","19","2011","26","2011-W26","2011-06-27","2011-07-03","15-44",
"1326753561","356","5393","7700","410045610065000","97","19","2011","26","2011-W26","2011-06-27","2011-07-03","45-64",
"1326402279","404","5393","7700","410065610075000","97","19","2011","26","2011-W26","2011-06-27","2011-07-03","65-74",
"1326199487","633","5393","7700","410075610085000","97","19","2011","26","2011-W26","2011-06-27","2011-07-03","75-84",
"1326653389","438","5393","7700","410085799999000","97","19","2011","26","2011-W26","2011-06-27","2011-07-03","85 a více",
"1326741972","1936","5393",,,"97","19","2011","26","2011-W26","2011-06-27","2011-07-03","celkem",
"1326847627","9","5393","7700","400000610015000","97","19","2011","27","2011-W27","2011-07-04","2011-07-10","0-14",
"1326189069","77","5393","7700","410015610045000","97","19","2011","27","2011-W27","2011-07-04","2011-07-10","15-44",
"1326875467","400","5393","7700","410045610065000","97","19","2011","27","2011-W27","2011-07-04","2011-07-10","45-64",
"1326646265","399","5393","7700","410065610075000","97","19","2011","27","2011-W27","2011-07-04","2011-07-10","65-74",
"1326651515","614","5393","7700","410075610085000","97","19","2011","27","2011-W27","2011-07-04","2011-07-10","75-84",
"1326986251","449","5393","7700","410085799999000","97","19","2011","27","2011-W27","2011-07-04","2011-07-10","85 a více",
"1326309917","1948","5393",,,"97","19","2011","27","2011-W27","2011-07-04","2011-07-10","celkem",
"1326971639","14","5393","7700","400000610015000","97","19","2011","28","2011-W28","2011-07-11","2011-07-17","0-14",
"1326190271","85","5393","7700","410015610045000","97","19","2011","28","2011-W28","2011-07-11","2011-07-17","15-44",
"1326402453","371","5393","7700","410045610065000","97","19","2011","28","2011-W28","2011-07-11","2011-07-17","45-64",
"1326194838","405","5393","7700","410065610075000","97","19","2011","28","2011-W28","2011-07-11","2011-07-17","65-74",
"1326228253","655","5393","7700","410075610085000","97","19","2011","28","2011-W28","2011-07-11","2011-07-17","75-84",
"1326986007","503","5393","7700","410085799999000","97","19","2011","28","2011-W28","2011-07-11","2011-07-17","85 a více",
"1326740899","2033","5393",,,"97","19","2011","28","2011-W28","2011-07-11","2011-07-17","celkem",
"1326394241","8","5393","7700","400000610015000","97","19","2011","29","2011-W29","2011-07-18","2011-07-24","0-14",
"1326978072","69","5393","7700","410015610045000","97","19","2011","29","2011-W29","2011-07-18","2011-07-24","15-44",
"1326647529","347","5393","7700","410045610065000","97","19","2011","29","2011-W29","2011-07-18","2011-07-24","45-64",
"1326978189","379","5393","7700","410065610075000","97","19","2011","29","2011-W29","2011-07-18","2011-07-24","65-74",
